kaggle_dataset_names,gcs_path,kaggle_dataset
graf10a/siim-cc-jpegs-128-train,gs://kds-3117d28c599e3657b1690b0870477a4aef22cd9550c5e6ec13a13d74,siim-cc-jpegs-128-train
graf10a/siim-tfrec-cc-256-train,gs://kds-76ca0b22fa22cd8d1d35cf9fab4870a2fe27148c18e60f4ae81bf4e2,siim-tfrec-cc-256-train
graf10a/siim-tfrec-cc-384-train,gs://kds-4d1f37306fa666bc0b305c02fd9b37345a22fadfd450346cd739fd5f,siim-tfrec-cc-384-train
graf10a/siim-tfrec-cc-128-test,gs://kds-0bf59c2039cefa6a45ce0586b8232ae7a0aef18081c143d90ca44828,siim-tfrec-cc-128-test
graf10a/siim-jpegs-512-extra-malignant,gs://kds-70063b654c0722deb8463863b65da1efdd21a33088383b2a7d741e00,siim-jpegs-512-extra-malignant
graf10a/siim-png-tfrecords-512-extra-malignant,gs://kds-20be3d581748af9fef35961b9801afaf826594ae493313d48a5e9928,siim-png-tfrecords-512-extra-malignant
graf10a/siim-png-cc-tfrecords-512-extra-malignant,gs://kds-a933b89114e5b188fb05377575b65a8c3cefe4c1ccd66090cee8694b,siim-png-cc-tfrecords-512-extra-malignant
graf10a/siim-png-tfrecords-3s-512-train,gs://kds-cc2492058f95462148ce3c939f1fad58d4bed741edfadee35bf92b36,siim-png-tfrecords-3s-512-train
graf10a/siim-png-tfrecords-3s-cc-512-train,gs://kds-7659d845fd61e188752a9284f312fa272cb2b049ecc9ba03014d0bf6,siim-png-tfrecords-3s-cc-512-train
graf10a/siim-pngs-512-train,gs://kds-bd6c7a8b4806562a0c4840add6352121eb0ca864f7fe2e4a985a6031,siim-pngs-512-train
graf10a/siim-pngs-224-train,gs://kds-ef1ae9325f323453eb884c60dea3424d7be02c891e55c7b90bbf1f3b,siim-pngs-224-train
graf10a/siim-png-tfrecords-512-train,gs://kds-54751aa25d9b201bcaf1f5b536ce2cee2718f5357774e675ed1c4e92,siim-png-tfrecords-512-train
graf10a/siim-pngs-512-test,gs://kds-3393bc3068362ecee2517bd354604823df97bac9dd56106d82c3aa55,siim-pngs-512-test
graf10a/siim-pngs-224-test,gs://kds-a720b7a806df1807472d3bc776549fa9a295608f988b9f595cd83b52,siim-pngs-224-test
allen-institute-for-ai/CORD-19-research-challenge,gs://kds-69c04c6302149df4d9326d3ad8e4bdcc23d07058ed0d61abc08df34c,CORD-19-research-challenge
mlg-ulb/creditcardfraud,gs://kds-f100c1ef12f0a28bdbee4d896472a2801321c4058f0407184da29a46,creditcardfraud
sudalairajkumar/novel-corona-virus-2019-dataset,gs://kds-d61e3c419fd06e522a84ba4d9a5ab62b9995001ee2d21d835e44aa1f,novel-corona-virus-2019-dataset
ronitf/heart-disease-uci,gs://kds-85348df8105d97cb4da1663a72cd0a8a84534504e971e191973a71c2,heart-disease-uci
lava18/google-play-store-apps,gs://kds-829235b0385d916f10ab778f176565fb95721d747d7827cec2219dcf,google-play-store-apps
hugomathien/soccer,gs://kds-57380fbbb654035ec432f67d8153c4b37703499dc553f0e7b12e7705,soccer
datasnaek/youtube-new,gs://kds-a4a7186e03cc3a250498fa54e4191a10b6f717c877ca8d82dce37e32,youtube-new
karangadiya/fifa19,gs://kds-950edd66c5accf5528eb0a91efc6ad512ddfb279ceec86aff8d68afe,fifa19
zynicide/wine-reviews,gs://kds-e99f788183d805b032073bcaba6524481fc57ea828db5d30358d2d26,wine-reviews
paultimothymooney/chest-xray-pneumonia,gs://kds-896e5a265040f8df265eb9dfc9ab0215f2119b4635bc8362d49cb3d6,chest-xray-pneumonia
borismarjanovic/price-volume-data-for-all-us-stocks-etfs,gs://kds-373392291ba567ab691b76fecd084d2c432bcc41bc6d3e9481a1c919,price-volume-data-for-all-us-stocks-etfs
tmdb/tmdb-movie-metadata,gs://kds-4d172f9374ccd4b463f9187e1067099748667f3d697611439b959eb6,tmdb-movie-metadata
gregorut/videogamesales,gs://kds-88c29b381d3abcbacd7bf27de90c8b7225753a17b3b2387cf5fdfcfe,videogamesales
russellyates88/suicide-rates-overview-1985-to-2016,gs://kds-4bf059cd58ada341fe728071562ab3c44de8c68ae14c57132d1024c6,suicide-rates-overview-1985-to-2016
unsdsn/world-happiness,gs://kds-7d3ce69f7f277795309967d47ca479008dadb4649f2d6146800f6fd6,world-happiness
START-UMD/gtd,gs://kds-420fcce4d3ab4bf10c6e45c3c7ce9b00aa4f92a63caa8b668921c35a,gtd
mczielinski/bitcoin-historical-data,gs://kds-47964ed6c00c4763006cd0604e0a1da731f24b41a4324cc2d4a52e92,bitcoin-historical-data
dgomonov/new-york-city-airbnb-open-data,gs://kds-5284cdbd90896f60d9597c6663f07600c1065ae81858fca9f0e62cc8,new-york-city-airbnb-open-data
